movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
36400,192,187,SCREEN-4,Hindi,ATMOS,False,,,522,,2026-03-05T18:40:00,2026-03-05T21:29:00
36400,192,185,SCREEN-4,Hindi,ATMOS,False,,,522,,2026-03-05T21:30:00,2026-03-06T00:21:00
36400,215,211,SCREEN 2,Hindi,,False,,,148,,2026-03-05T22:25:00,2026-03-06T01:10:00
36400,36,26,SCREEN 3,Hindi,,False,INSIGNIA,,148,insignia,2026-03-05T13:00:00,2026-03-05T15:43:00
36400,36,32,SCREEN 3,Hindi,,False,INSIGNIA,,148,insignia,2026-03-05T18:45:00,2026-03-05T21:28:00
36400,304,285,SCREEN 3,Hindi,,False,,,127,,2026-03-05T11:05:00,2026-03-05T13:49:00
36400,304,276,SCREEN 3,Hindi,,False,,,127,,2026-03-05T13:50:00,2026-03-05T16:34:00
36400,304,302,SCREEN 3,Hindi,,False,,,127,,2026-03-05T19:15:00,2026-03-05T21:59:00
36400,304,304,SCREEN 3,Hindi,,False,,,127,,2026-03-05T22:00:00,2026-03-06T00:47:00
36400,108,90,SCREEN 2,Hindi,,False,,,208,,2026-03-05T11:10:00,2026-03-05T13:53:00
36400,108,94,SCREEN 2,Hindi,,False,,,208,,2026-03-05T13:55:00,2026-03-05T16:38:00
36400,108,63,SCREEN 2,Hindi,,False,,,208,,2026-03-05T19:15:00,2026-03-05T21:58:00
36400,108,101,SCREEN 2,Hindi,,False,,,208,,2026-03-05T22:00:00,2026-03-06T00:45:00
36400,190,174,AUDI 04,Hindi,,False,LASER,,528,laser,2026-03-05T11:00:00,2026-03-05T13:47:00
36400,118,105,AUDI 01,Hindi,,False,LASER,,528,laser,2026-03-05T12:00:00,2026-03-05T14:49:00
36400,190,184,AUDI 04,Hindi,,False,LASER,,528,laser,2026-03-05T16:35:00,2026-03-05T19:21:00
36400,178,178,AUDI 02,Hindi,,False,LASER,,528,laser,2026-03-05T18:50:00,2026-03-05T21:42:00
36400,190,190,AUDI 04,Hindi,,False,LASER,,528,laser,2026-03-05T22:05:00,2026-03-06T00:49:00
36400,40,40,AUDI 04,Hindi,,False,,,529,,2026-03-05T13:50:00,2026-03-05T16:24:00
36400,40,32,AUDI 04,Hindi,,False,,,529,,2026-03-05T16:25:00,2026-03-05T18:59:00
36400,41,31,AUDI 01,Hindi,,False,,,529,,2026-03-05T22:00:00,2026-03-06T00:37:00
36400,245,238,AUDI 7,Hindi,ATMOS,False,,,507,,2026-03-05T09:45:00,2026-03-05T12:34:00
36400,245,223,AUDI 7,Hindi,ATMOS,False,,,507,,2026-03-05T15:35:00,2026-03-05T18:26:00
36400,28,25,AUDI 10 GOLD,Hindi,,False,GOLD,,507,gold,2026-03-05T10:00:00,2026-03-05T12:51:00
36400,28,20,AUDI 10 GOLD,Hindi,,False,GOLD,,507,gold,2026-03-05T13:05:00,2026-03-05T15:54:00
36400,28,24,AUDI 11 GOLD,Hindi,,False,GOLD,,507,gold,2026-03-05T18:40:00,2026-03-05T21:29:00
